"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.594521017E2,6.098913260E1,2.564325617E1,5.194115122E1,1.676448073E0,2.671263558E1,5.173827291E0,7.547009330E0
1.604520952E2,6.098914770E1,2.564327030E1,5.201991946E1,1.651455802E0,2.548655290E1,5.146273915E0,7.491774450E0
1.614520901E2,6.098916290E1,2.564328104E1,5.208492360E1,1.658337078E0,2.430873851E1,5.129624040E0,7.560826160E0
1.624520836E2,6.098917781E1,2.564329682E1,5.207619366E1,1.665804923E0,2.668030791E1,5.128925780E0,7.650217515E0
1.634520786E2,6.098919337E1,2.564330902E1,5.243013593E1,1.666559705E0,2.617966694E1,5.150907201E0,7.660589484E0
1.644520729E2,6.098920926E1,2.564332043E1,5.255233705E1,1.674263387E0,2.442631673E1,5.075521136E0,7.683992632E0
1.654520667E2,6.098922348E1,2.564333603E1,5.217911313E1,1.675472946E0,2.652130557E1,4.981406571E0,7.408625754E0
1.664520611E2,6.098923758E1,2.564334859E1,5.164732334E1,1.679686624E0,2.589704640E1,4.923952971E0,7.306220315E0
1.674520551E2,6.098925265E1,2.564336021E1,5.112401421E1,1.679782799E0,2.507286424E1,4.883637029E0,7.142911588E0
1.684520504E2,6.098927008E1,2.564337006E1,5.103717661E1,1.687898982E0,2.376491872E1,4.850847811E0,7.152723509E0
1.694520439E2,6.098928549E1,2.564338393E1,5.103707212E1,1.692601877E0,2.466785457E1,4.861783636E0,7.300977002E0
1.704520388E2,6.098929955E1,2.564339600E1,5.092336835E1,1.665132715E0,2.393851440E1,4.793874885E0,7.185490028E0
1.714520332E2,6.098931582E1,2.564340507E1,5.093035338E1,1.673051134E0,2.188626945E1,4.819239098E0,7.501010784E0
1.724520272E2,6.098933214E1,2.564341556E1,5.158051707E1,1.654973477E0,2.154782211E1,4.825939472E0,7.386122325E0
1.734520218E2,6.098935222E1,2.564342505E1,5.189830338E1,1.700962954E0,2.105635457E1,4.820397340E0,7.586379090E0
1.744520155E2,6.098936655E1,2.564344053E1,5.234039935E1,1.694732965E0,2.366591849E1,4.751960113E0,7.358208916E0
1.754520097E2,6.098938416E1,2.564344737E1,5.159249923E1,1.680613297E0,1.944437623E1,4.788596125E0,7.025190877E0
1.764520046E2,6.098939980E1,2.564345697E1,5.126167685E1,1.669643059E0,1.666238172E1,4.852175802E0,7.112570439E0
1.774519987E2,6.098941147E1,2.564347894E1,5.105147010E1,1.669491885E0,2.408580182E1,4.856164467E0,7.076003666E0
1.784519935E2,6.098942476E1,2.564349353E1,5.097128007E1,1.690814594E0,2.313688301E1,4.832187809E0,7.382351821E0
1.794519882E2,6.098943660E1,2.564351106E1,5.150990185E1,1.654926727E0,2.730475440E1,4.813840387E0,7.330659809E0
1.804519819E2,6.098945133E1,2.564352301E1,5.110250438E1,1.672139606E0,2.606962362E1,4.906280342E0,7.302771754E0
1.814519759E2,6.098947050E1,2.564351084E1,4.968110778E1,1.641742421E0,4.425974361E0,4.883587925E0,7.028205992E0
1.824519706E2,6.098948553E1,2.564352898E1,5.001926166E1,1.675332699E0,1.678037677E1,4.889153408E0,7.252698750E0
1.834519647E2,6.098949982E1,2.564354172E1,4.995044354E1,1.676526356E0,1.915653351E1,4.827076533E0,7.327350293E0
1.844519587E2,6.098951171E1,2.564355837E1,4.950928474E1,1.677767316E0,2.338355429E1,4.862214129E0,7.381831078E0
