"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.079207750E0,-8.514463272E-2,-2.213492721E-2,-1.803632140E-1
2.089192750E0,-8.628222680E-2,-2.536229789E-2,-1.127951288E-1
2.099178750E0,-9.034713803E-2,-3.789668173E-2,-1.274517596E-2
2.109163750E0,-6.239421297E-2,-3.174073309E-2,1.183803892E-1
2.119148750E0,-4.251960006E-2,-4.106704205E-2,1.849602950E-1
2.129134750E0,-3.847782187E-2,-3.456932366E-2,2.116750538E-1
2.139119750E0,-6.970286708E-2,-3.465644717E-2,1.881768483E-1
2.149104750E0,-7.964549085E-2,-2.900482088E-2,1.350461233E-1
2.159089750E0,-5.038960515E-2,-1.157777935E-2,1.905081332E-2
2.169075750E0,-2.093113169E-2,1.594769597E-2,-8.425428450E-2
2.179060750E0,1.160412837E-2,3.709502846E-2,-1.165788621E-1
2.189045750E0,1.464500941E-2,5.777721494E-2,-7.311475396E-2
2.199031750E0,-2.200398613E-3,6.799463958E-2,-1.308139086E-2
2.209016750E0,-2.059765767E-2,6.810135126E-2,4.827578187E-2
2.219001750E0,-3.889991775E-2,4.881781876E-2,1.351431870E-1
2.228987750E0,-6.840865899E-2,2.967842013E-2,1.878657764E-1
2.238972750E0,-8.984064125E-2,3.324522167E-2,2.068686426E-1
2.248957750E0,-1.083638164E-1,4.754780352E-2,1.979843831E-1
2.258943750E0,-1.415713601E-1,4.355415523E-2,1.735541314E-1
2.268928750E0,-1.565224713E-1,5.423058629E-2,1.328750521E-1
2.278913750E0,-1.399350534E-1,7.802816927E-2,9.327010632E-2
2.288899750E0,-7.719508722E-2,9.076954454E-2,6.278272390E-2
2.298884750E0,-3.825087681E-2,8.792078108E-2,3.334374726E-2
2.308869750E0,-3.674719222E-2,8.040330827E-2,1.988111794E-2
2.318854750E0,-2.854479119E-2,6.732250214E-2,1.457944751E-2
2.328840750E0,-2.199656747E-2,3.899274230E-2,4.095097482E-2
2.338825750E0,1.497450002E-2,2.784151733E-2,6.161094189E-2
2.348810750E0,-4.481781162E-3,2.149728835E-2,5.825054705E-2
2.358796750E0,-1.287790775E-2,1.617222905E-2,8.199492037E-2
2.368781750E0,-2.738178000E-2,1.134915322E-2,1.015573651E-1
2.378766750E0,-1.442884516E-2,-4.300919473E-3,1.188154221E-1
2.388752750E0,5.273823068E-3,1.270015240E-3,1.589980727E-1
2.398737750E0,3.519022487E-2,2.033807784E-2,1.684249538E-1
2.408722750E0,2.239103526E-2,1.909554452E-2,1.316290104E-1
2.418708750E0,1.511662390E-2,1.993783593E-2,4.360444129E-2
2.428693750E0,1.946256693E-2,1.333165169E-4,-4.879267573E-2
2.438678750E0,-1.442113414E-2,-1.207099199E-2,-7.423975825E-2
2.448663750E0,-3.756682567E-2,-2.270795435E-2,-7.291419446E-2
2.458649750E0,-4.817791410E-2,-1.820296705E-2,-3.901437700E-2
2.468634750E0,-6.099899422E-2,-1.402863979E-2,6.261607826E-2
2.478619750E0,-5.458697408E-2,-1.012854695E-2,1.394385517E-1
2.488605750E0,-4.771803059E-2,1.563136160E-2,1.850725615E-1
2.498590750E0,-4.202463325E-2,8.690424263E-3,2.251938164E-1
2.508575750E0,-5.036857344E-2,2.151278347E-2,2.260036558E-1
2.518561750E0,-6.771824900E-2,2.450918913E-2,2.203599232E-1
2.528546750E0,-5.746921286E-2,2.948370785E-2,2.124691057E-1
2.538531750E0,-3.406752292E-2,4.467682064E-2,2.373045695E-1
2.548517750E0,-1.440055925E-2,7.316299349E-2,2.228362191E-1
2.558502750E0,-8.455439284E-3,6.878635257E-2,1.779342806E-1
2.568487750E0,-1.927889127E-2,7.285601467E-2,1.077922511E-1
2.578473750E0,-2.201685000E-2,3.895707428E-2,2.061318934E-2
2.588458750E0,-2.266603712E-2,1.827137947E-2,-3.257659256E-2
2.598443750E0,-3.266799185E-2,1.517030865E-2,-6.889481843E-2
2.608428750E0,-2.246317528E-2,3.156034648E-3,-8.921857059E-2
2.618414750E0,-5.721135065E-3,5.789620578E-3,-6.271314204E-2
2.628399750E0,-1.357917164E-2,1.802170336E-2,-4.020311594E-2
2.638384750E0,-5.816594515E-2,3.399074167E-2,-2.726790547E-2
2.648370750E0,-7.901667763E-2,4.734256625E-2,-4.057149053E-2
2.658355750E0,-6.101098102E-2,4.943353057E-2,-5.582336783E-2
2.668340750E0,-2.206011940E-2,5.287286282E-2,-6.605891883E-2
2.678326750E0,4.714317620E-3,7.336852312E-2,-5.442003608E-2
2.688311750E0,8.052310310E-3,6.579053164E-2,1.628391087E-2
2.698296750E0,1.143123351E-2,5.522607476E-2,9.313562036E-2
2.708281750E0,1.367210582E-2,4.577171177E-2,1.354647839E-1
2.718267750E0,-1.327551842E-2,4.413624555E-2,1.387684608E-1
